id,user_name,category_url,category_name,pages_loaded,load_time,load_date,load_time_start,load_time_end,items_count,max_bonus_percent
1,user1,https://megamarket.ru/catalog/alkogol,Алкоголь,472,1610.0,2024-08-06 03:11:38,2024-08-06 02:44:48,2024-08-06 03:11:38,20753,
2,user2,https://megamarket.ru/catalog/kofemashiny,Кофемашины,136,488.0,2024-08-06 03:19:47,2024-08-06 03:11:39,2024-08-06 03:19:47,5956,
5,user2,https://megamarket.ru/catalog/oborudovanie-dlya-umnogo-doma/,Умный дом,327,1314.0,2024-08-06 03:41:42,2024-08-06 03:19:47,2024-08-06 03:41:42,16747,
6,user2,https://megamarket.ru/catalog/smartfony/,Смартфоны,1121,4629.0,2024-08-06 04:58:51,2024-08-06 03:41:43,2024-08-06 04:58:51,49246,
7,user2,https://megamarket.ru/catalog/videokarty/,Видеокарты,254,965.0,2024-08-06 05:14:57,2024-08-06 04:58:53,2024-08-06 05:14:57,11068,
8,user2,https://megamarket.ru/catalog/ssd-diski/,SSD диски,121,460.0,2024-08-06 05:22:38,2024-08-06 05:14:58,2024-08-06 05:22:38,2882,
9,user1,https://megamarket.ru/catalog/noutbuki/,Ноутбуки,29,134.0,2024-08-06 05:24:53,2024-08-06 05:22:39,2024-08-06 05:24:53,677,
10,user1,https://megamarket.ru/catalog/naushniki-apple/,Наушники Apple,35,133.0,2024-08-06 05:27:07,2024-08-06 05:24:54,2024-08-06 05:27:07,1490,
11,user1,https://megamarket.ru/catalog/televizory/,Телевизоры,139,471.0,2024-08-06 05:34:58,2024-08-06 05:27:07,2024-08-06 05:34:58,3282,
12,user1,https://megamarket.ru/catalog/umnye-kolonki/,Умные колонки,126,469.0,2024-08-06 05:42:48,2024-08-06 05:34:59,2024-08-06 05:42:48,5521,
13,user1,https://megamarket.ru/catalog/portativnye-kolonki/,Портативные колонки,587,2212.0,2024-08-06 06:19:41,2024-08-06 05:42:48,2024-08-06 06:19:41,25738,
14,user1,https://megamarket.ru/catalog/igrovye-pristavki-playstation/,Игровые приставки Sony PlayStation,62,203.0,2024-08-06 06:23:04,2024-08-06 06:19:42,2024-08-06 06:23:04,2694,
15,user1,https://megamarket.ru/catalog/parfyumeriya/,Духи,576,2109.0,2024-08-06 06:58:13,2024-08-06 06:23:05,2024-08-06 06:58:13,23996,
16,user1,https://megamarket.ru/catalog/uhod-za-licom/,Уход за лицом,833,3979.0,2024-08-06 08:04:33,2024-08-06 06:58:14,2024-08-06 08:04:33,36603,
17,user1,https://megamarket.ru/catalog/sredstva-po-uhodu-za-telom/,Средства по уходу за телом,1137,4444.0,2024-08-06 09:18:39,2024-08-06 08:04:34,2024-08-06 09:18:39,49252,
18,user1,https://megamarket.ru/catalog/stolovaya-posuda/,Столовая посуда,1137,5373.0,2024-08-06 10:48:13,2024-08-06 09:18:40,2024-08-06 10:48:13,48955,
19,user1,https://megamarket.ru/catalog/igrovye-kresla-2463684633800334/,Игровые кресла,173,608.0,2024-08-06 10:58:23,2024-08-06 10:48:15,2024-08-06 10:58:23,5468,
20,user1,https://megamarket.ru/catalog/geymerskie-stoly/,Игровые столы,19,82.0,2024-08-06 10:59:45,2024-08-06 10:58:23,2024-08-06 10:59:45,746,
21,user1,https://megamarket.ru/catalog/kresla-kompyuternye/,Компьютерные кресла,1423,5358.0,2024-08-06 12:29:04,2024-08-06 10:59:45,2024-08-06 12:29:04,44937,
22,user1,https://megamarket.ru/catalog/ochki-virtualnoj-realnosti/,Очки виртуальной реальности,25,98.0,2024-08-06 12:30:43,2024-08-06 12:29:05,2024-08-06 12:30:43,1094,
24,user1,https://megamarket.ru/catalog/mobilnye-telefony/,Мобильные телефоны,1032,2022.0,2024-08-06 15:10:51,2024-08-06 14:37:10,2024-08-06 15:10:51,45382,35.0
25,user1,https://megamarket.ru/catalog/umnye-chasy/,Смарт-часы,423,863.0,2024-08-06 15:25:16,2024-08-06 15:10:53,2024-08-06 15:25:16,18526,46.0
26,user1,https://megamarket.ru/catalog/fitnes-braslety/,Фитнес браслеты,32,66.0,2024-08-06 15:26:23,2024-08-06 15:25:17,2024-08-06 15:26:23,1364,25.0
27,user1,https://megamarket.ru/catalog/naushniki/,Наушники,764,1736.0,2024-08-06 15:55:19,2024-08-06 15:26:23,2024-08-06 15:55:19,18296,51.0
28,user1,https://megamarket.ru/catalog/besprovodnye-zaryadnye-ustrojstva/,Беспроводные зарядные устройства,73,125.0,2024-08-06 15:57:25,2024-08-06 15:55:20,2024-08-06 15:57:25,3205,74.0
29,user1,https://megamarket.ru/catalog/setevye-zaryadnye-ustrojstva/,Сетевые зарядные устройства,272,500.0,2024-08-06 16:05:47,2024-08-06 15:57:26,2024-08-06 16:05:47,11938,50.0
30,user1,https://megamarket.ru/catalog/dok-stancii-dlya-telefonov/,Док-станции для телефонов,6,10.0,2024-08-06 16:05:57,2024-08-06 16:05:48,2024-08-06 16:05:57,240,16.0
31,user1,https://megamarket.ru/catalog/vneshnie-akkumulyatory/,Внешние аккумуляторы (Power bank),223,415.0,2024-08-06 16:12:53,2024-08-06 16:05:58,2024-08-06 16:12:53,9731,35.0
32,user1,https://megamarket.ru/catalog/kabeli-i-perehodniki-dlya-telefona/,Кабели и адаптеры для мобильных телефонов,450,833.0,2024-08-06 16:26:47,2024-08-06 16:12:54,2024-08-06 16:26:47,19746,38.0
33,user1,https://megamarket.ru/catalog/derzhateli-dlya-telefona-v-mashinu/,Держатели для телефонов в машину,238,395.0,2024-08-06 16:33:23,2024-08-06 16:26:48,2024-08-06 16:33:23,10318,52.0
